name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Coimbatore,India",2023-01-01,31,20,25,29.9,20,24.8,15.9,60.6,0,0,0,,0,0,15.8,20.5,53.2,1016.7,33.6,4.4,252.7,21.9,9,10,2023-01-01T06:40:46,2023-01-01T18:10:18,0.3,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-02,30,20.8,24.6,29.1,20.8,24.5,16,61.5,0,0,0,,0,0,19.1,20.5,63.2,1016.8,34.6,4.7,227.7,19.7,8,10,2023-01-02T06:41:10,2023-01-02T18:10:51,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-03,29,20,24.6,28.8,20,24.5,16.9,65.2,0,0,0,,0,0,16.2,16.6,58.9,1016.8,37.3,4.6,257.5,22.2,9,10,2023-01-03T06:41:33,2023-01-03T18:11:24,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-04,29.1,21,24.7,28.8,21,24.7,16.6,62.6,0,0,0,rain,0,0,20.5,16.6,63.6,1015.7,44,4.5,257.5,22.3,9,10,2023-01-04T06:41:55,2023-01-04T18:11:56,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-05,29,20,24.7,28.6,20,24.7,17.2,65.6,0,0,0,rain,0,0,22,22.3,64.1,1016.2,45.3,4.3,257.7,22.3,9,10,2023-01-05T06:42:17,2023-01-05T18:12:29,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-06,29,20,24.7,28.8,20,24.8,17.3,65.6,0,0,0,rain,0,0,23.4,24.1,59.7,1017.2,52.8,4.1,252.7,22,9,10,2023-01-06T06:42:37,2023-01-06T18:13:02,0.48,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-07,29,22,25.4,29.5,22,25.5,17.2,61.7,0,0,0,,0,0,21.2,24.1,58.8,1016.6,54.6,4.3,256.1,22.2,9,10,2023-01-07T06:42:57,2023-01-07T18:13:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-08,29.9,21.8,25.1,30,21.8,25.3,17.9,65.9,0,0,0,rain,0,0,18.7,14.8,78.5,1015.6,53.5,3.7,194.5,16.7,8,10,2023-01-08T06:43:16,2023-01-08T18:14:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-09,30,21,24.5,29.7,21,24.6,17.2,66,0,0,0,rain,0,0,16.9,14.8,74.8,1016.3,49.6,3.3,211.3,18.1,9,10,2023-01-09T06:43:34,2023-01-09T18:14:40,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-10,29,18,23.3,28,18,23.1,14.4,61.2,0,0,0,,0,0,20.9,18.4,62.5,1016.4,18.3,4.6,272.3,23.4,9,10,2023-01-10T06:43:51,2023-01-10T18:15:13,0.61,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-11,31,18,23.3,29.1,18,23,13.2,58.7,0,0,0,,0,0,16.6,16.6,53.3,1014.6,16.2,4.3,271.6,23.4,9,10,2023-01-11T06:44:08,2023-01-11T18:15:45,0.64,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-12,31,18.9,23.5,29.1,18.9,23.2,12.9,57.4,0,0,0,,0,0,16.6,14.8,58.9,1013.7,18.2,4.3,269.1,23.2,9,10,2023-01-12T06:44:23,2023-01-12T18:16:17,0.68,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-13,29,18.9,23.6,29.5,18.9,23.5,15.4,62.4,0,0,0,,0,0,14,14.8,29.4,1014,40.2,3.9,260.9,22.4,9,10,2023-01-13T06:44:37,2023-01-13T18:16:49,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-14,30,18,23.4,28.7,18,23.1,13.8,59.3,0,0,0,,0,0,14,18.4,61.2,1014,32.4,4.4,246.4,21.3,9,10,2023-01-14T06:44:51,2023-01-14T18:17:20,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-15,30.2,18,23.4,28.8,18,23.2,14.2,60.3,0,0,0,,0,0,16.2,16.6,73.3,1013.2,17.7,4.6,269.5,23.1,9,10,2023-01-15T06:45:03,2023-01-15T18:17:51,0.75,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-16,31,18,24.3,29.8,18,24,13.7,56.8,0,0,0,,0,0,17.6,14.8,56.6,1013.6,19.9,4.8,264.5,22.8,9,10,2023-01-16T06:45:14,2023-01-16T18:18:22,0.81,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-17,30,19.9,23.9,29.7,19.9,23.9,15.9,63.5,0,0,0,,0,0,18,16.6,58.1,1014.5,31.7,4.7,266.9,23.2,9,10,2023-01-17T06:45:25,2023-01-17T18:18:53,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-18,30,18,23.7,29.4,18,23.6,15.5,63.1,0,0,0,,0,0,20.5,18.4,61.3,1015.6,23,4.8,258.7,22.4,9,10,2023-01-18T06:45:34,2023-01-18T18:19:23,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-19,30,19,23.8,28.6,19,23.5,14.1,59.4,0,0,0,,0,0,21.2,18.4,60.3,1015.9,26.6,4.4,271.2,23.5,9,10,2023-01-19T06:45:43,2023-01-19T18:19:52,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-20,29,18,23.8,28.2,18,23.6,14,57,0,0,0,,0,0,18.7,18.4,69.7,1015.6,27.7,4.3,272,23.5,9,10,2023-01-20T06:45:50,2023-01-20T18:20:22,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-21,29,20,24,28.4,20,23.9,15.3,60.4,0,0,0,,0,0,16.9,16.6,46.1,1014.6,38.6,4.2,248.8,21.2,9,10,2023-01-21T06:45:56,2023-01-21T18:20:51,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-22,28,20.9,24.2,28.3,20.9,24.3,16.7,64.9,0,0,0,,0,0,29.5,22.3,59.3,1013.8,55.1,3.8,253.1,21.8,9,10,2023-01-22T06:46:02,2023-01-22T18:21:19,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-23,32,21.8,26.4,32,21.8,26.5,17.6,60.9,0,0,0,rain,0,0,27,18.4,77.9,1012.4,52.1,4.3,255.8,22,9,10,2023-01-23T06:46:06,2023-01-23T18:21:47,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-24,29,23,25.9,29.5,23,26.3,19.1,67.3,0,0,0,rain,0,0,23.4,18.4,82,1013,85.9,4.2,167.3,14.5,7,10,2023-01-24T06:46:09,2023-01-24T18:22:14,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-25,29,21.7,24.4,29.5,21.7,24.6,17.1,64.3,0,0,0,,0,0,22.7,18.4,77.7,1013.3,55.5,4.6,268.8,23.3,9,10,2023-01-25T06:46:11,2023-01-25T18:22:41,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-26,31,19.8,24.4,29.9,19.8,24.3,15.8,61.6,0,0,0,,0,0,15.1,22.3,66.9,1013.2,36.1,4,271.5,23.4,9,10,2023-01-26T06:46:12,2023-01-26T18:23:07,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-27,31,19,24.3,29.9,19,24.1,15.2,60.2,0,0,0,,0,0,16.2,14.8,63,1013.1,36.6,3.8,277.2,24,9,10,2023-01-27T06:46:12,2023-01-27T18:23:33,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
"Coimbatore,India",2023-01-28,31,19.8,24.7,29.4,19.8,24.3,13.2,53.5,0,0,0,,0,0,17.3,18.4,62.1,1012.5,16.3,4.4,281.8,24.4,10,10,2023-01-28T06:46:11,2023-01-28T18:23:58,0.25,Clear,Clear conditions throughout the day.,clear-day,"VOCB,43318099999,43321099999,43341099999,43335099999,43317099999"
